2025-06-03 15:31:07.998 INFO  [restartedMain] com.farmflow.FarmFlowApplication - Starting FarmFlowApplication using Java 21.0.4 with PID 254120 (/media/pranjal/New Volume/CODES/PROJECT/AgriProject/FarmFlow/target/classes started by pranjal in /media/pranjal/New Volume/CODES/PROJECT/AgriProject/FarmFlow)
2025-06-03 15:31:08.003 INFO  [restartedMain] com.farmflow.FarmFlowApplication - No active profile set, falling back to 1 default profile: "default"
2025-06-03 15:31:08.117 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-06-03 15:31:08.118 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-06-03 15:31:09.301 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-06-03 15:31:09.436 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 127 ms. Found 10 JPA repository interfaces.
2025-06-03 15:31:09.652 INFO  [restartedMain] o.s.cloud.context.scope.GenericScope - BeanFactory id=68b39a57-1bfb-3b47-b8f8-8e4841c833ed
2025-06-03 15:31:10.345 INFO  [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-06-03 15:31:10.358 INFO  [restartedMain] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-06-03 15:31:10.360 INFO  [restartedMain] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-03 15:31:10.360 INFO  [restartedMain] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-06-03 15:31:10.402 INFO  [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-03 15:31:10.402 INFO  [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2284 ms
2025-06-03 15:31:10.635 INFO  [restartedMain] c.f.service.impl.JwtServiceImpl - JwtServiceImpl instantiated
2025-06-03 15:31:10.871 INFO  [restartedMain] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-03 15:31:10.911 INFO  [restartedMain] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.13.Final
2025-06-03 15:31:10.937 INFO  [restartedMain] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
